sno,sid,name,email,mno,rno
1,A2018IT6322,Abhimanyu Yadav,Abhimanyu_Yadav@gmail.com,9902536429,1814313058
2,A2018IT6325,Adarsh Shukla,Adarsh_Shukla@gmail.com,9902536415,1814313021
3,A2018IT6006,Aman Garg,Aman_Garg@gmail.com,9902536549,1814313080
4,A2018IT6299,Aman Vashishth,Aman_Vashishth@gmail.com,9902536534,1814313006
5,A2018IT6326,Ankit Pandey,Ankit_Pandey@gmail.com,9902536483,1814313098
6,A2018IT6231,Anmol Bhatnagar,Anmol_Bhatnagar@gmail.com,9902536510,1814313007
7,A2018IT6081,Anmol Kumar,Anmol_Kumar@gmail.com,9902536515,1814313095
8,A2018IT5927,Arjun Sahu,Arjun_Sahu@gmail.com,9902536568,1814313100
9,A2018IT5925,Himanshu Chauhan,Himanshu_Chauhan@gmail.com,9902536449,1814313028
10,A2018IT5942,Lovesh Rajpoot,Lovesh_Rajpoot@gmail.com,9902536524,1814313082
11,A2018IT5716,Mamoon Ahmad,Mamoon_Ahmad@gmail.com,9902536569,1814313049
12,A2018IT5717,Manas Agarwal,Manas_Agarwal@gmail.com,9902536428,1814313047
13,A2018IT5795,Mansi Chauhan,Mansi_Chauhan@gmail.com,9902536430,1814313040
14,A2018IT3056,Mohd. Aasif,Mohd._Aasif@gmail.com,9902536475,1814313011
15,A2018IT6249,Mohd. Atyab,Mohd._Atyab@gmail.com,9902536431,1814313061
16,A2018IT5722,Mohd. Saim Aziz,Mohd._Saim_Aziz@gmail.com,9902536417,1814313074
17,A2018IT6313,Mohd. Wajahat Beg,Mohd._Wajahat_Beg@gmail.com,9902536505,1814313031
18,A2018IT6239,Mukul Agarwal,Mukul_Agarwal@gmail.com,9902536420,1814313052
19,A2018IT5979,Narendra Kumar,Narendra_Kumar@gmail.com,9902536505,1814313046
20,A2018IT6114,Nishant Kumar,Nishant_Kumar@gmail.com,9902536531,1814313083
21,A2018IT5682,Nishant Rajput,Nishant_Rajput@gmail.com,9902536435,1814313060
22,A2018IT6146,Pankaj Chand Kaushik,Pankaj_Chand_Kaushik@gmail.com,9902536520,1814313065
23,A2018IT5749,Raj Gupta,Raj_Gupta@gmail.com,9902536423,1814313099
24,A2018IT5896,Rajat Kumar,Rajat_Kumar@gmail.com,9902536565,1814313096
25,A2018IT5990,Sanjay Bharti,Sanjay_Bharti@gmail.com,9902536595,1814313019
26,A2018IT6246,Saral Vats,Saral_Vats@gmail.com,9902536403,1814313073
27,A2018IT6075,Saumya Agarwal,Saumya_Agarwal@gmail.com,9902536419,1814313096
28,A2018IT6217,Shivam Kumar,Shivam_Kumar@gmail.com,9902536437,1814313002
29,A2018IT5723,Suyash Singh,Suyash_Singh@gmail.com,9902536448,1814313017
30,A2018IT6219,Vikash Kumar,Vikash_Kumar@gmail.com,9902536424,1814313024
31,A2018IT5869,Vishwas Aggarwal,Vishwas_Aggarwal@gmail.com,9902536566,1814313082
32,A2018IT5907,Yash Awasthi,Yash_Awasthi@gmail.com,9902536569,1814313064
33,A2018IT6199,Ankur Kaushik,Ankur_Kaushik@gmail.com,9902536572,1814313004
34,A2018IT6236,Ashwani Kumar,Ashwani_Kumar@gmail.com,9902536528,1814313092
35,A2018IT5973,Kushagra Pandey,Kushagra_Pandey@gmail.com,9902536535,1814313065
36,A2018IT5787,Puneet Jindal,Puneet_Jindal@gmail.com,9902536599,1814313099
37,A2017IT5464,Abhishek Verma,Abhishek_Verma@gmail.com,9902536515,1714313057
38,A2017IT5453,Akash Kushwaha,Akash_Kushwaha@gmail.com,9902536578,1714313078
39,A2017IT5419,Akshit Kumar,Akshit_Kumar@gmail.com,9902536480,1714313055
40,A2017IT5251,Arpit Sharma,Arpit_Sharma@gmail.com,9902536414,1714313069
41,A2017IT5504,Ashish Kumar Kushavaha,Ashish_Kumar_Kushavaha@gmail.com,9902536491,1714313033
42,A2017IT4981,Ashutosh Mishra,Ashutosh_Mishra@gmail.com,9902536542,1714313033
43,A2017IT5357,Ayush Shukla,Ayush_Shukla@gmail.com,9902536497,1714313087
44,A2017IT5468,Deepanshu,Deepanshu-17-5468,9902536598,1714313057
45,A2017IT4915,Dhruv Johari,Dhruv_Johari@gmail.com,9902536516,1714313052
46,A2017IT5062,Harshit Varshney,Harshit_Varshney@gmail.com,9902536421,1714313089
47,A2017IT5176,Km Shraddha Katiyar,Km_Shraddha_Katiyar@gmail.com,9902536593,1714313071
48,A2017IT5134,Kratagya Pachauri,Kratagya_Pachauri@gmail.com,9902536454,1714313090
49,A2017IT5306,Krishna Singh,Krishna_Singh@gmail.com,9902536533,1714313017
50,A2017IT5449,Kuldeep Kumar Gautam,Kuldeep_Kumar_Gautam@gmail.com,9902536408,1714313003
51,A2017IT4965,Love Varshney,Love_Varshney@gmail.com,9902536411,1714313061
52,A2017IT5052,Mohit Yagyik,Mohit_Yagyik@gmail.com,9902536576,1714313031
53,A2017IT5441,Nakul Mitra,Nakul_Mitra@gmail.com,9902536599,1714313016
54,A2017IT5447,Nirpesh Chaudhary,Nirpesh_Chaudhary@gmail.com,9902536416,1714313021
55,A2017IT4978,Nitin Saxena,Nitin_Saxena@gmail.com,9902536546,1714313029
